salary,Age,status
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,16,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,17,0
10000,18,0
10000,18,0
10000,18,0
10000,18,0
10000,18,0
10000,18,0
10000,18,0
10000,18,0
10000,18,0
10000,18,0
10000,18,0
10000,18,0
10000,18,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,19,0
10000,20,0
10000,20,0
10000,20,0
10000,20,0
10000,20,0
10000,20,0
10000,20,0
10000,20,0
10000,20,0
10000,20,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,21,0
10000,22,0
10000,22,0
10000,22,0
10000,22,0
10000,22,0
10000,22,0
10000,22,0
10000,22,0
10000,22,0
10000,22,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,23,0
10000,24,0
10000,24,0
10000,24,0
10000,24,0
10000,24,0
10000,24,0
10000,24,0
10000,24,0
10000,24,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,25,0
10000,26,0
10000,26,0
10000,26,0
10000,26,0
10000,26,0
10000,26,0
10000,26,0
10000,26,0
10000,26,0
10000,26,0
10000,26,0
10000,26,0
10000,26,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,27,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,28,0
10000,29,0
10000,29,0
10000,29,0
10000,29,0
10000,29,0
10000,29,0
10000,29,0
10000,29,0
10000,29,0
